"id_emprestimo";"codigo_barras";"data_renovacao";"data_emprestimo";"data_devolucao";"nome_usuario";"id_vinculo_usuario";"tipo_vinculo_usuario"
"19750";"L000100";"";"2001-11-05 08:45:00";"2001-11-05 08:47:00";"Usuário de Migração";"0";"OUTROS"
"19751";"L000100";"";"2001-11-05 08:48:00";"2001-11-05 08:48:00";"Usuário de Migração";"0";"OUTROS"
"19752";"L000100";"";"2001-11-05 08:52:00";"2001-11-05 08:55:00";"Usuário de Migração";"0";"OUTROS"
"19753";"L000100";"";"2001-11-05 09:10:00";"2001-11-06 09:53:00";"Usuário de Migração";"0";"OUTROS"
"19754";"L000100";"";"2001-11-08 08:27:00";"2001-11-13 11:54:00";"Usuário de Migração";"0";"OUTROS"
"19755";"L000100";"";"2001-11-13 15:30:00";"2001-11-13 15:33:00";"Usuário de Migração";"0";"OUTROS"
"19756";"L000100";"";"2001-11-29 18:51:00";"2001-12-03 18:02:00";"Usuário de Migração";"0";"OUTROS"
"19772";"L000102";"";"2001-11-05 09:26:00";"2001-11-05 09:30:00";"Usuário de Migração";"0";"OUTROS"
"19773";"L000130";"";"2001-11-06 10:03:00";"2001-11-06 10:11:00";"Usuário de Migração";"0";"OUTROS"
"19774";"L000130";"";"2001-11-06 10:12:00";"2001-11-06 10:21:00";"Usuário de Migração";"0";"OUTROS"
"19775";"L000130";"";"2001-11-06 10:21:00";"2001-11-29 18:16:00";"Usuário de Migração";"0";"OUTROS"
"19776";"L000130";"";"2001-11-29 18:51:00";"2001-12-03 11:42:00";"Usuário de Migração";"0";"OUTROS"
"19777";"L000130";"";"2001-12-03 11:47:00";"2001-12-03 11:50:00";"Usuário de Migração";"0";"OUTROS"
"19778";"L000130";"";"2001-12-03 11:58:00";"2001-12-03 11:59:00";"Usuário de Migração";"0";"OUTROS"
"19779";"L000130";"";"2001-12-03 11:59:00";"2001-12-03 12:11:00";"Usuário de Migração";"0";"OUTROS"
"19780";"L000130";"";"2001-12-03 12:11:00";"2001-12-03 17:34:00";"Usuário de Migração";"0";"OUTROS"
"19781";"L000131";"";"2001-11-06 10:13:00";"2001-11-29 17:40:00";"Usuário de Migração";"0";"OUTROS"
"19782";"L000131";"";"2001-11-29 18:51:00";"2001-12-03 18:02:00";"Usuário de Migração";"0";"OUTROS"
"19783";"L000132";"";"2001-11-06 10:05:00";"2001-11-29 18:14:00";"Usuário de Migração";"0";"OUTROS"
"19784";"L000500";"";"2001-11-05 08:44:00";"2001-11-06 09:55:00";"Usuário de Migração";"0";"OUTROS"
"19790";"L033820";"";"2001-11-13 09:17:00";"2001-11-13 09:19:00";"Usuário de Migração";"0";"OUTROS"
"19791";"L033820";"";"2001-11-13 09:23:00";"2001-11-13 09:23:00";"Usuário de Migração";"0";"OUTROS"
"19792";"L033820";"";"2001-11-13 09:25:00";"2001-11-13 09:25:00";"Usuário de Migração";"0";"OUTROS"
"19793";"L033820";"";"2001-11-13 09:31:00";"2001-11-13 09:32:00";"Usuário de Migração";"0";"OUTROS"
"19794";"L033820";"";"2001-11-13 09:34:00";"2001-11-13 09:35:00";"Usuário de Migração";"0";"OUTROS"
"19795";"L033820";"";"2001-11-13 09:36:00";"2001-11-13 09:36:00";"Usuário de Migração";"0";"OUTROS"
"19796";"L033820";"";"2001-11-13 09:40:00";"2001-11-13 11:55:00";"Usuário de Migração";"0";"OUTROS"
"19797";"L033820";"";"2001-11-13 15:30:00";"2001-11-13 15:33:00";"Usuário de Migração";"0";"OUTROS"
"19826";"L090270";"";"2001-11-20 13:52:00";"2001-11-20 13:55:00";"Usuário de Migração";"0";"OUTROS"
"19827";"L090270";"";"2001-11-20 13:57:00";"2001-11-20 14:07:00";"Usuário de Migração";"0";"OUTROS"
"19828";"L090270";"";"2001-11-20 14:11:00";"2001-11-22 11:34:00";"Usuário de Migração";"0";"OUTROS"
"19829";"L090270";"";"2001-11-22 15:41:00";"2001-11-22 15:54:00";"Usuário de Migração";"0";"OUTROS"
"19830";"L090271_12/04/2017 12:34:48";"";"2001-11-20 13:57:00";"2001-11-20 14:07:00";"Usuário de Migração";"0";"OUTROS"
"19831";"L090272";"";"2001-11-22 15:42:00";"2001-11-22 15:55:00";"Usuário de Migração";"0";"OUTROS"
"19832";"L090273";"";"2001-11-22 08:49:00";"2001-11-22 11:35:00";"Usuário de Migração";"0";"OUTROS"
"19833";"L090273";"";"2001-11-22 15:42:00";"2001-11-22 15:55:00";"Usuário de Migração";"0";"OUTROS"
"19836";"L000102";"";"2001-11-05 09:31:00";"2003-08-12 18:13:00";"Usuário de Migração";"0";"OUTROS"
"653072";"L000104";"";"2001-11-05 09:26:00";"2010-06-23 10:19:03";"Usuário de Migração";"0";"OUTROS"
"654987";"L159517";"";"2001-12-03 17:33:00";"2010-11-12 12:45:47";"Usuário de Migração";"0";"OUTROS"
